action seq idx tl_x tl_y br_x br_y 
run 002 9 86 119 479 512 
run 002 12 86 119 479 512 
standup 001 2 34 112 481 559 
standup 001 5 34 112 481 559 
standup 001 8 34 112 481 559 
standup 001 11 34 112 481 559 
standup 001 14 34 112 481 559 
kick 002 2 0 0 479 479 
kick 002 5 0 0 479 479 
kick 002 8 0 0 479 479 
kick 002 11 0 0 479 479 
kick 002 14 0 0 479 479 
climb 001 2 0 27 441 468 
climb 001 5 0 27 441 468 
climb 001 8 0 27 441 468 
climb 001 11 0 27 441 468 
climb 001 14 0 27 441 468 
hit 002 2 38 62 463 487 
hit 002 5 38 62 463 487 
hit 002 8 38 62 463 487 
hit 002 11 38 62 463 487 
hit 002 14 38 62 463 487 
roll 001 2 0 34 480 514 
roll 001 5 0 34 480 514 
roll 001 8 0 34 480 514 
roll 001 11 0 34 480 514 
roll 001 14 0 34 480 514 
squat 001 2 24 53 457 486 
squat 001 5 24 53 457 486 
squat 001 8 24 53 457 486 
squat 001 11 24 53 457 486 
squat 001 14 24 53 457 486 
squat 001 0 80 132 461 513 
squat 001 3 80 132 461 513 
squat 001 6 80 132 461 513 
squat 001 9 80 132 461 513 
squat 001 12 80 132 461 513 
climb 001 1 0 181 452 633 
climb 001 4 0 181 452 633 
climb 001 7 0 181 452 633 
climb 001 10 0 181 452 633 
climb 001 13 0 181 452 633 
kick 002 1 23 184 479 640 
kick 002 4 23 184 479 640 
kick 002 7 23 184 479 640 
kick 002 10 23 184 479 640 
kick 002 13 23 184 479 640 
roll 001 0 220 181 479 440 
roll 001 3 220 181 479 440 
roll 001 6 220 181 479 440 
roll 001 9 220 181 479 440 
roll 001 12 220 181 479 440 
hit 002 0 92 66 479 453 
hit 002 3 92 66 479 453 
hit 002 6 92 66 479 453 
hit 002 9 92 66 479 453 
hit 002 12 92 66 479 453 
hit 002 1 0 90 479 569 
hit 002 4 0 90 479 569 
hit 002 7 0 90 479 569 
hit 002 10 0 90 479 569 
hit 002 13 0 90 479 569 
roll 001 1 0 111 480 591 
roll 001 4 0 111 480 591 
roll 001 7 0 111 480 591 
roll 001 10 0 111 480 591 
roll 001 13 0 111 480 591 
kick 002 0 24 0 480 456 
kick 002 3 24 0 480 456 
kick 002 6 24 0 480 456 
kick 002 9 24 0 480 456 
kick 002 12 24 0 480 456 
climb 001 0 0 96 463 559 
climb 001 3 0 96 463 559 
climb 001 6 0 96 463 559 
climb 001 9 0 96 463 559 
climb 001 12 0 96 463 559 
squat 001 1 24 150 476 602 
squat 001 4 24 150 476 602 
squat 001 7 24 150 476 602 
squat 001 10 24 150 476 602 
squat 001 13 24 150 476 602 
wave 001 2 22 68 445 491 
wave 001 5 22 68 445 491 
wave 001 8 22 68 445 491 
wave 001 11 22 68 445 491 
wave 001 14 22 68 445 491 
bow 001 0 78 129 463 514 
bow 001 3 78 129 463 514 
bow 001 6 78 129 463 514 
bow 001 9 78 129 463 514 
bow 001 12 78 129 463 514 
jump 001 0 0 77 467 544 
jump 001 3 0 77 467 544 
jump 001 6 0 77 467 544 
jump 001 9 0 77 467 544 
jump 001 12 0 77 467 544 
stall 001 0 80 149 479 548 
stall 001 3 80 149 479 548 
stall 001 6 80 149 479 548 
stall 001 9 80 149 479 548 
stall 001 12 80 149 479 548 
cheer 001 2 40 51 479 490
cheer 001 5 40 51 479 490
cheer 001 8 40 51 479 490
cheer 001 11 40 51 479 490
cheer 001 14 40 51 479 490
hook 002 1 41 170 459 588 
hook 002 4 41 170 459 588 
hook 002 7 41 170 459 588 
hook 002 10 41 170 459 588 
hook 002 13 41 170 459 588 
crossstep 001 2 111 65 479 428
crossstep 001 5 111 65 479 428
crossstep 001 8 111 65 479 428
crossstep 001 11 111 65 479 428
crossstep 001 14 111 65 479 428
clap 002 1 32 130 470 568 
clap 002 4 32 130 470 568 
clap 002 7 32 130 470 568 
clap 002 10 32 130 470 568 
clap 002 13 32 130 470 568 
clap 002 0 84 132 451 499 
clap 002 3 84 132 451 499 
clap 002 6 84 132 451 499 
clap 002 9 84 132 451 499 
clap 002 12 84 132 451 499 
hook 002 0 104 67 479 442 
hook 002 3 104 67 479 442 
hook 002 6 104 67 479 442 
hook 002 9 104 67 479 442 
hook 002 12 104 67 479 442 
pitch 002 2 0 0 479 479 
pitch 002 5 0 0 479 479 
pitch 002 8 0 0 479 479 
pitch 002 11 0 0 479 479 
pitch 002 14 0 0 479 479 
stall 001 1 28 182 455 609 
stall 001 4 28 182 455 609 
stall 001 7 28 182 455 609 
stall 001 10 28 182 455 609 
stall 001 13 28 182 455 609 
bow 001 1 20 122 451 553 
bow 001 4 20 122 451 553 
bow 001 7 20 122 451 553 
bow 001 10 20 122 451 553 
bow 001 13 20 122 451 553 
jump 001 1 0 72 473 545 
jump 001 4 0 72 473 545 
jump 001 7 0 72 473 545 
jump 001 10 0 72 473 545 
jump 001 13 0 72 473 545 
walk 002 2 0 0 479 479 
walk 002 5 0 0 479 479 
walk 002 8 0 0 479 479 
walk 002 11 0 0 479 479 
walk 002 14 0 0 479 479 
walk 002 0 0 158 480 638 
walk 002 3 0 158 480 638 
walk 002 6 0 158 480 638 
walk 002 9 0 158 480 638 
walk 002 12 0 158 480 638 
wave 001 1 0 94 460 554 
wave 001 4 0 94 460 554 
wave 001 7 0 94 460 554 
wave 001 10 0 94 460 554 
wave 001 13 0 94 460 554 
hook 002 2 39 19 471 451 
hook 002 5 39 19 471 451 
hook 002 8 39 19 471 451 
hook 002 11 39 19 471 451 
hook 002 14 39 19 471 451 
pitch 002 0 39 82 479 522 
pitch 002 3 39 82 479 522 
pitch 002 6 39 82 479 522 
pitch 002 9 39 82 479 522 
pitch 002 12 39 82 479 522 
cheer 001 1 44 146 479 581
cheer 001 4 44 146 479 581
cheer 001 7 44 146 479 581
cheer 001 10 44 146 479 581
cheer 001 13 44 146 479 581
crossstep 001 1 46 154 481 589
crossstep 001 4 46 154 481 589
crossstep 001 7 46 154 481 589
crossstep 001 10 46 154 481 589
crossstep 001 13 46 154 481 589
clap 002 2 32 90 445 503 
clap 002 5 32 90 445 503 
clap 002 8 32 90 445 503 
clap 002 11 32 90 445 503 
clap 002 14 32 90 445 503 
crossstep 001 0 187 134 479 426
crossstep 001 3 187 134 479 426
crossstep 001 6 187 134 479 426
crossstep 001 9 187 134 479 426
crossstep 001 12 187 134 479 426
cheer 001 0 120 128 479 487
cheer 001 3 120 128 479 487
cheer 001 6 120 128 479 487
cheer 001 9 120 128 479 487
cheer 001 12 120 128 479 487
pitch 002 1 0 162 479 641 
pitch 002 4 0 162 479 641 
pitch 002 7 0 162 479 641 
pitch 002 10 0 162 479 641 
pitch 002 13 0 162 479 641 
stall 001 2 23 60 447 484 
stall 001 5 23 60 447 484 
stall 001 8 23 60 447 484 
stall 001 11 23 60 447 484 
stall 001 14 23 60 447 484 
jump 001 2 0 82 455 537 
jump 001 5 0 82 455 537 
jump 001 8 0 82 455 537 
jump 001 11 0 82 455 537 
jump 001 14 0 82 455 537 
bow 001 2 23 103 447 527 
bow 001 5 23 103 447 527 
bow 001 8 23 103 447 527 
bow 001 11 23 103 447 527 
bow 001 14 23 103 447 527 
wave 001 0 78 84 464 470 
wave 001 3 78 84 464 470 
wave 001 6 78 84 464 470 
wave 001 9 78 84 464 470 
wave 001 12 78 84 464 470 
walk 002 1 0 162 479 641 
walk 002 4 0 162 479 641 
walk 002 7 0 162 479 641 
walk 002 10 0 162 479 641 
walk 002 13 0 162 479 641 
hit 001 2 0 47 449 496 
hit 001 5 0 47 449 496 
hit 001 8 0 47 449 496 
hit 001 11 0 47 449 496 
hit 001 14 0 47 449 496 
squat 002 2 24 83 459 518 
squat 002 5 24 83 459 518 
squat 002 8 24 83 459 518 
squat 002 11 24 83 459 518 
squat 002 14 24 83 459 518 
roll 002 2 0 60 480 540 
roll 002 5 0 60 480 540 
roll 002 8 0 60 480 540 
roll 002 11 0 60 480 540 
roll 002 14 0 60 480 540 
kick 001 2 12 0 479 467 
kick 001 5 12 0 479 467 
kick 001 8 12 0 479 467 
kick 001 11 12 0 479 467 
kick 001 14 12 0 479 467 
climb 002 2 32 41 476 485 
climb 002 5 32 41 476 485 
climb 002 8 32 41 476 485 
climb 002 11 32 41 476 485 
climb 002 14 32 41 476 485 
hit 001 1 11 107 479 575 
hit 001 4 11 107 479 575 
hit 001 7 11 107 479 575 
hit 001 10 11 107 479 575 
hit 001 13 11 107 479 575 
squat 002 1 24 112 475 563 
squat 002 4 24 112 475 563 
squat 002 7 24 112 475 563 
squat 002 10 24 112 475 563 
squat 002 13 24 112 475 563 
kick 001 0 80 127 479 526 
kick 001 3 80 127 479 526 
kick 001 6 80 127 479 526 
kick 001 9 80 127 479 526 
kick 001 12 80 127 479 526 
climb 002 0 93 114 479 500 
climb 002 3 93 114 479 500 
climb 002 6 93 114 479 500 
climb 002 9 93 114 479 500 
climb 002 12 93 114 479 500 
roll 002 1 0 112 480 592 
roll 002 4 0 112 480 592 
roll 002 7 0 112 480 592 
roll 002 10 0 112 480 592 
roll 002 13 0 112 480 592 
roll 002 0 132 195 481 544 
roll 002 3 132 195 481 544 
roll 002 6 132 195 481 544 
roll 002 9 132 195 481 544 
roll 002 12 132 195 481 544 
climb 002 1 27 148 479 600 
climb 002 4 27 148 479 600 
climb 002 7 27 148 479 600 
climb 002 10 27 148 479 600 
climb 002 13 27 148 479 600 
kick 001 1 24 194 471 641 
kick 001 4 24 194 471 641 
kick 001 7 24 194 471 641 
kick 001 10 24 194 471 641 
kick 001 13 24 194 471 641 
squat 002 0 80 125 461 506 
squat 002 3 80 125 461 506 
squat 002 6 80 125 461 506 
squat 002 9 80 125 461 506 
squat 002 12 80 125 461 506 
hit 001 0 96 95 479 478 
hit 001 3 96 95 479 478 
hit 001 6 96 95 479 478 
hit 001 9 96 95 479 478 
hit 001 12 96 95 479 478 
jump 002 1 0 134 455 589 
jump 002 4 0 134 455 589 
jump 002 7 0 134 455 589 
jump 002 10 0 134 455 589 
jump 002 13 0 134 455 589 
bow 002 1 24 126 455 557 
bow 002 4 24 126 455 557 
bow 002 7 24 126 455 557 
bow 002 10 24 126 455 557 
bow 002 13 24 126 455 557 
stall 002 1 27 173 453 599 
stall 002 4 27 173 453 599 
stall 002 7 27 173 453 599 
stall 002 10 27 173 453 599 
stall 002 13 27 173 453 599 
hook 001 0 112 166 479 533 
hook 001 3 112 166 479 533 
hook 001 6 112 166 479 533 
hook 001 9 112 166 479 533 
hook 001 12 112 166 479 533 
pitch 001 2 0 0 479 479 
pitch 001 5 0 0 479 479 
pitch 001 8 0 0 479 479 
pitch 001 11 0 0 479 479 
pitch 001 14 0 0 479 479 
clap 001 0 173 175 451 453 
clap 001 3 173 175 451 453 
clap 001 6 173 175 451 453 
clap 001 9 173 175 451 453 
clap 001 12 173 175 451 453 
walk 001 2 0 0 479 479 
walk 001 5 0 0 479 479 
walk 001 8 0 0 479 479 
walk 001 11 0 0 479 479 
walk 001 14 0 0 479 479 
clap 001 1 143 116 472 445 
clap 001 4 143 116 472 445 
clap 001 7 143 116 472 445 
clap 001 10 143 116 472 445 
clap 001 13 143 116 472 445 
crossstep 002 2 67 97 469 499
crossstep 002 5 67 97 469 499
crossstep 002 8 67 97 469 499
crossstep 002 11 67 97 469 499
crossstep 002 14 67 97 469 499
cheer 002 2 0 42 455 497 
cheer 002 5 0 42 455 497 
cheer 002 8 0 42 455 497 
cheer 002 11 0 42 455 497 
cheer 002 14 0 42 455 497 
hook 001 1 50 212 479 641 
hook 001 4 50 212 479 641 
hook 001 7 50 212 479 641 
hook 001 10 50 212 479 641 
hook 001 13 50 212 479 641 
stall 002 0 85 115 479 509 
stall 002 3 85 115 479 509 
stall 002 6 85 115 479 509 
stall 002 9 85 115 479 509 
stall 002 12 85 115 479 509 
jump 002 0 0 109 463 572 
jump 002 3 0 109 463 572 
jump 002 6 0 109 463 572 
jump 002 9 0 109 463 572 
jump 002 12 0 109 463 572 
bow 002 0 80 127 473 520 
bow 002 3 80 127 473 520 
bow 002 6 80 127 473 520 
bow 002 9 80 127 473 520 
bow 002 12 80 127 473 520 
wave 002 2 25 76 447 498 
wave 002 5 25 76 447 498 
wave 002 8 25 76 447 498 
wave 002 11 25 76 447 498 
wave 002 14 25 76 447 498 
wave 002 0 80 96 463 479 
wave 002 3 80 96 463 479 
wave 002 6 80 96 463 479 
wave 002 9 80 96 463 479 
wave 002 12 80 96 463 479 
bow 002 2 26 89 463 526 
bow 002 5 26 89 463 526 
bow 002 8 26 89 463 526 
bow 002 11 26 89 463 526 
bow 002 14 26 89 463 526 
jump 002 2 0 85 455 540 
jump 002 5 0 85 455 540 
jump 002 8 0 85 455 540 
jump 002 11 0 85 455 540 
jump 002 14 0 85 455 540 
stall 002 2 28 70 451 493 
stall 002 5 28 70 451 493 
stall 002 8 28 70 451 493 
stall 002 11 28 70 451 493 
stall 002 14 28 70 451 493 
cheer 002 0 12 76 479 543 
cheer 002 3 12 76 479 543 
cheer 002 6 12 76 479 543 
cheer 002 9 12 76 479 543 
cheer 002 12 12 76 479 543 
pitch 001 1 0 162 479 641 
pitch 001 4 0 162 479 641 
pitch 001 7 0 162 479 641 
pitch 001 10 0 162 479 641 
pitch 001 13 0 162 479 641 
crossstep 002 0 134 125 470 461
crossstep 002 3 134 125 470 461
crossstep 002 6 134 125 470 461
crossstep 002 9 134 125 470 461
crossstep 002 12 154 135 470 461
walk 001 1 0 162 479 641 
walk 001 4 0 162 479 641 
walk 001 7 0 162 479 641 
walk 001 10 0 162 479 641 
walk 001 13 0 162 479 641 
walk 001 0 0 82 480 562 
walk 001 3 0 82 480 562 
walk 001 6 0 82 480 562 
walk 001 9 0 82 480 562 
walk 001 12 0 82 480 562 
clap 001 2 140 192 445 497 
clap 001 5 140 192 445 497 
clap 001 8 140 192 445 497 
clap 001 11 140 192 445 497 
clap 001 14 140 192 445 497 
crossstep 002 1 66 103 479 516
crossstep 002 4 66 103 479 516
crossstep 002 7 66 103 479 516
crossstep 002 10 66 103 479 516
crossstep 002 13 66 103 479 516
hook 001 2 48 0 479 431 
hook 001 5 48 0 479 431 
hook 001 8 48 0 479 431 
hook 001 11 48 0 479 431 
hook 001 14 48 0 479 431 
pitch 001 0 6 112 481 587 
pitch 001 3 6 112 481 587 
pitch 001 6 6 112 481 587 
pitch 001 9 6 112 481 587 
pitch 001 12 6 112 481 587 
cheer 002 1 0 119 463 582 
cheer 002 4 0 119 463 582 
cheer 002 7 0 119 463 582 
cheer 002 10 0 119 463 582 
cheer 002 13 0 119 463 582 
wave 002 1 0 117 451 568 
wave 002 4 0 117 451 568 
wave 002 7 0 117 451 568 
wave 002 10 0 117 451 568 
wave 002 13 0 117 451 568 
